A,B,C,D,E
0.489808448008262,0.992649091756903,0.117979063768871,0.054225205327384,0.175222835387103
0.822051219060086,0.922120342846029,0.280222999979742,0.994453206076287,0.780446262680925
0.463793085073121,0.61321976070758,0.795722443028353,0.491895614773966,0.528753507765941
0.433693837025203,0.03919682407286,0.076550528523512,0.827195210498758,0.843047805246897
0.323486019275151,0.892402090714313,0.949776891269721,0.047585486085154,0.570303020183928
0.561868975753896,0.532194534665905,0.520157554070465,0.059765104553662,0.138613365008496
0.784699138370343,0.872634044033475,0.963384697795846,0.648462766432203,0.332977724377997
0.052991854841821,0.2331115383422,0.956457661348395,0.168567635701038,0.260035919141956
0.527741019497626,0.858638161909767,0.05672373494599,0.871623383718543,0.355324074509554
0.85563756164629,0.923230778775178,0.318763014511205,0.307394114206545,0.420099275768735
0.513856224832125,0.827513691387139,0.247619087924249,0.072864965884946,0.770025689038448
0.251750798081048,0.099351512617432,0.69548474799376,0.464865054585971,0.832964845583774
0.634029149427079,0.922258707345463,0.553552823490463,0.503104016068392,0.260958792059682
0.020949302823283,0.685250836773776,0.062983235227875,0.004668984911405,0.477260544081219
0.972325379145332,0.629325909190811,0.836974431877025,0.603285730932839,0.692838198156096
0.222843888564967,0.729599375161342,0.780042500351556,0.159623816260137,0.630361970164813
0.262875520740636,0.559461049851961,0.517698813113384,0.771108419052325,0.98392583464738
0.747983646695502,0.939741914044134,0.012950248201378,0.059339588857256,0.957999908947386
0.17196624528151,0.027293715043925,0.12401148781646,0.972921826993115,0.603032600716688
0.462280197651126,0.229856273741461,0.61959242017474,0.759107032208703,0.046840225928463
0.94813471834641,0.040942293708213,0.622973098768853,0.697415218804963,0.601904821698554
0.36968836968299,0.232118560117669,0.278603713144548,0.96051039674785,0.540126625797711
0.916875967639498,0.269554931088351,0.958664569421671,0.908790247165598,0.054207188193686
0.550657136482187,0.223521379171871,0.804863194352947,0.402700068545528,0.683649408514611
0.416630394174717,0.92253138392698,0.040691625908949,0.279892803053372,0.755333284963854
0.101204150938429,0.293912700028159,0.361310099833645,0.514063553069718,0.461504365433939
0.087877726298757,0.981773573788814,0.39130762766581,0.795272702234797,0.932896748301573
0.49663396703545,0.326844029244967,0.599715130520053,0.21676926210057,0.003589463536628
0.256456164992414,0.275819827686064,0.590110599645413,0.028877302655019,0.999831476598047
0.629804686061107,0.421816972433589,0.225756508181803,0.675332075566985,0.311715926392935
0.101041036541574,0.991462283884175,0.693303661304526,0.018806897220202,0.444375337916426
0.906037611537613,0.03411986248102,0.217244026134722,0.549632792477496,0.351598865934648
0.022665577591397,0.372237144852988,0.356909404625185,0.272478310274892,0.563195055699907
0.719565226114355,0.057846891344525,0.658692775177769,0.34867298102472,0.620607028831728
0.150003110640682,0.482234577997588,0.551082111080177,0.140375401941128,0.391989593044855
0.427127534640022,0.591863682842813,0.77539198694285,0.068542166030966,0.604713685694151
0.816087838145904,0.470620961277746,0.014058126253076,0.85965703392867,0.716429343796335
0.382569405599497,0.950498205958866,0.34795039484743,0.669611624558456,0.71407769958023
0.547568800277077,0.767762980773114,0.23039927019272,0.766397688887082,0.948750841547735
0.574630501796491,0.400476240669377,0.93930268206168,0.882193106110208,0.886952143977396
0.154352967743762,0.288261173176579,0.00800874910783,0.793036280549131,0.587071307818405
0.113425969495438,0.919189720530994,0.596645224955864,0.488110120990314,0.24651926162187
0.281382261426188,0.180565554997884,0.356533618760295,0.822046491433866,0.151470474316739
0.112430664594285,0.024064856930636,0.714270150405355,0.802183336229064,0.869477510335855
0.183281013625674,0.694241088931449,0.339820851222612,0.313237739377655,0.769867597031407
0.57687546487432,0.256026284652762,0.635796003858559,0.593304815818556,0.85582692513708
0.921379773993976,0.981148535967805,0.289392998558469,0.803459590650164,0.175041000940837
0.812163645518012,0.565988198504783,0.835728075006045,0.954370899940841,0.850887763430364
0.579645397723652,0.620638824650086,0.092307508806698,0.073809142340906,0.801607001922093
0.443736620130949,0.193261609994806,0.694669955060817,0.525338442414068,0.133255504653789
0.5914307202911,0.893174370401539,0.468297324492596,0.650266412994824,0.872860588715412
0.985515069100075,0.323210054426454,0.430046663503163,0.526301654404961,0.987297298503108
0.19600997294765,0.66265641793143,0.28573545801919,0.215979089145549,0.934073884622194
0.084714420256205,0.301383817684837,0.92601286189165,0.210841434891336,0.581068490282632
0.582731958827935,0.975075461552478,0.884379760711454,0.923904797178693,0.542708030552603
0.276401098934002,0.040961213293485,0.435447018011473,0.712095326394774,0.394443890894763
0.250386856612749,0.741172945708968,0.275815655826591,0.321772529627196,0.388783454080112
0.567997290869243,0.392677627620287,0.640123165096156,0.797427503275685,0.994453120860271
0.344999786815606,0.213148829643615,0.387476421776228,0.007355881272815,0.812289426918142
0.735445509315468,0.556422018795274,0.846847364562564,0.793829216971062,0.141286366968416
0.285551071516238,0.731310300179757,0.359005518141203,0.64802372653503,0.210961580392905
0.430038164486177,0.620680496911518,0.902027159114368,0.917072459240444,0.209779713652097
0.627917847945355,0.160217901109718,0.068307676701807,0.041690356913023,0.690209932043217
0.051527580129914,0.085081016761251,0.913253610604443,0.078700653160922,0.737376850447618
0.600260995444842,0.195618376950733,0.45994801807683,0.908200594480149,0.354258532053791
0.938031073310412,0.675469566020183,0.025183300604113,0.66896424361039,0.256297754473053
0.02720173203852,0.658186485408805,0.567209072294645,0.97116090322379,0.530677720555104
0.398681310587563,0.677068731863983,0.345164200174622,0.865946981706657,0.64356472028885
0.757941023330204,0.197520882938989,0.73836732597556,0.817410118295811,0.466217224835418
0.567042094306089,0.58229298342485,0.89009290386457,0.239768864703365,0.41804773604963
0.029276899178512,0.805302882450633,0.005359995062463,0.963124035508372,0.120621483423747
0.57006980094593,0.050923475879245,0.252082456252538,0.710436543799005,0.099675140692853
0.165477367932908,0.507645066245459,0.503821706981398,0.642507870332338,0.816767562064342
0.691412326297723,0.112065168912523,0.62866792769637,0.133186983526684,0.304179449682124
0.653581245220266,0.28699999244418,0.583006451022811,0.994251296040602,0.260786699713208
0.964070582180284,0.530801606480964,0.107513307477348,0.628748556482606,0.912714404636063
0.484454320394434,0.187601038604043,0.753870335756801,0.582078968524002,0.851687266374938
0.806337140849792,0.358084583538584,0.428252422832884,0.032144985743798,0.682786435238086
0.588737698155455,0.306531447335146,0.558881921810098,0.509506458067335,0.525238714995794
